IDRem,IDDes,weight
00.611.256/0001-35,00.611.256/0001-35,11671.584000000003
01.079.172/0001-65,01.079.172/0001-65,22767.492099999934
01.079.172/0001-65,06.902.214/0001-30,40.0
01.079.172/0001-65,07.223.293/0001-15,619.551
01.079.172/0001-65,08.609.390/0001-03,2835.1226000000024
01.079.172/0001-65,17.577.288/0001-64,74.867
01.297.390/0001-76,01.297.390/0001-76,2825.5711
01.451.357/0001-59,01.451.357/0001-59,852.9256000000001
01.451.357/0001-59,11.909.349/0001-67,33.196
01.451.357/0001-59,84.621.101/0001-70,653.2666
02.069.459/0001-77,02.069.459/0001-77,9653.212499999998
02.093.134/0001-20,02.093.134/0001-20,9215.898000000001
02.113.916/0001-83,02.113.916/0001-83,5114.075900000025
02.113.916/0001-83,07.223.293/0001-15,63.58
02.113.916/0001-83,08.215.495/0001-88,3334.2008000000005
02.113.916/0001-83,11.766.646/0001-09,14309.888799999997
02.113.916/0001-83,14.608.707/0001-90,266.52869999999996
02.113.916/0001-83,15.858.889/0001-10,698.4380000000001
02.113.916/0001-83,17.713.234/0001-89,97.024
02.113.916/0001-83,63.773.253/0003-80,5390.5536
02.113.916/0001-83,84.604.537/0001-50,737.659
02.166.947/0001-00,02.166.947/0001-00,16886.14
02.313.406/0001-50,02.313.406/0001-50,604.6515
02.386.797/0001-32,04.242.657/0001-16,40.0
02.386.797/0001-32,07.835.262/0001-15,160.0
02.386.797/0001-32,15.809.486/0001-80,180.0
02.455.931/0001-00,07.401.031/0001-01,20.2686
02.455.931/0001-00,10.467.302/0001-28,4470.521999999999
02.455.931/0001-00,12.429.880/0001-03,85.71
02.455.931/0001-00,15.800.916/0001-01,107.251
02.455.931/0001-00,27.160.187/0001-47,63.340500000000006
02.455.931/0001-00,84.587.104/0001-34,94.6605
02.488.249/0001-13,02.488.249/0001-13,2748.0591999999997
02.488.249/0001-13,11.210.278/0001-00,489.687
02.831.001/0001-03,04.586.851/0001-19,5.1088000000000005
02.831.001/0001-03,14.191.660/0001-01,5.0
02.898.761/0001-38,02.898.761/0001-38,110.0131
03.003.606/0001-79,03.003.606/0001-79,43.489999999999995
03.381.978/0001-39,03.381.978/0001-39,384.895
03.381.978/0001-39,06.192.786/0001-72,3127.9001999999973
03.431.164/0001-61,02.488.249/0001-13,2090.64
03.431.164/0001-61,03.431.164/0001-61,15948.293000000018
03.431.164/0001-61,03.784.107/0001-66,1063.9820000000002
03.431.164/0001-61,06.032.582/0001-74,836.2070000000001
03.431.164/0001-61,34.478.149/0001-00,2125.0099999999998
03.540.779/0001-26,03.540.779/0001-26,3446.2504000000017
03.691.701/0001-02,03.691.701/0001-02,3310.2870000000003
03.691.701/0001-02,07.623.050/0001-74,966.1190000000004
03.691.701/0001-02,08.905.855/0001-73,3798.629600000003
03.691.701/0001-02,14.797.585/0001-27,212.882
03.691.701/0001-02,15.379.051/0001-43,3576.344999999999
03.691.701/0001-02,20.793.969/0001-74,300.0
03.691.701/0001-02,20.982.589/0001-88,200.0
03.691.701/0001-02,21.597.378/0001-94,198.046
03.691.701/0001-02,24.795.800/0001-04,680.0799999999998
03.691.701/0001-02,84.721.901/0001-62,903.1859999999995
03.694.935/0001-03,04.238.440/0001-32,227.57399999999998
03.957.205/0001-58,02.829.731/0001-70,998.7850000000003
03.957.205/0001-58,02.898.761/0001-38,199.76870000000002
03.957.205/0001-58,03.957.205/0001-58,19123.376299999964
03.957.205/0001-58,07.313.762/0001-97,950.0000000000001
03.957.205/0001-58,08.809.967/0001-20,139.14
03.957.205/0001-58,22.635.807/0001-33,100.0
03.957.205/0001-58,26.343.422/0001-53,1325.8899999999999
04.008.157/0001-14,02.313.406/0001-50,188.88299999999998
04.008.157/0001-14,04.008.157/0001-14,30.0
04.008.157/0001-14,22.795.132/0001-90,79.67999999999999
04.008.157/0001-14,77.294.254/0021-38,5432.0
04.193.033/0001-56,04.193.033/0001-56,345535.01259999815
04.193.033/0001-56,04.310.086/0001-00,416.12
04.193.033/0001-56,77.294.254/0021-38,35762.0
04.407.979/0001-78,09.622.005/0001-20,58.0
04.407.979/0001-78,77.294.254/0021-38,21090.0
04.428.458/0001-05,04.428.458/0001-05,659.2112
04.476.104/0001-28,04.476.104/0001-28,778.24
04.496.658/0001-97,04.496.658/0001-97,11095.157099999993
04.505.890/0001-44,00.825.256/0001-38,1378.9600000000003
04.505.890/0001-44,03.540.779/0001-26,995.02
04.505.890/0001-44,04.428.458/0001-05,167.40530000000004
04.505.890/0001-44,04.505.890/0001-44,8267.809000000025
04.505.890/0001-44,06.332.541/0001-01,116.215
04.505.890/0001-44,08.061.596/0001-41,1139.318
04.505.890/0001-44,RR732,400.0
04.522.986/0001-10,04.522.986/0001-10,3978.5780000000013
04.541.838/0001-43,04.522.986/0001-10,230.032
04.541.838/0001-43,04.541.838/0001-43,10140.45399999997
04.541.838/0001-43,75.558.817/0001-89,1143.576
04.541.838/0001-43,JRG653,67.6
04.607.462/0001-22,04.607.462/0001-22,3107.8979999999997
04.670.469/0001-99,06.346.425/0001-33,9135.895999999993
04.670.469/0001-99,19.693.053/0001-63,5454.680999999997
04.670.469/0001-99,20.793.969/0001-74,1932.0
04.670.469/0001-99,20.801.732/0001-98,24417.45209999994
04.670.469/0001-99,21.565.220/0001-32,228.0
04.670.469/0001-99,27.752.372/0001-20,900.0
04.670.469/0001-99,28.399.118/0001-53,645.9400000000002
04.670.469/0001-99,30.364.126/0001-06,1716.7169999999999
04.670.469/0001-99,31.973.780/0001-80,852.3999999999999
04.670.469/0001-99,84.621.101/0001-70,431.0
04.689.550/0001-10,04.689.550/0001-10,11658.368500000022
04.731.170/0001-05,04.642.220/0001-70,1186.1047999999998
04.799.938/0001-74,01.801.325/0001-36,1781.9877000000001
04.799.938/0001-74,04.799.938/0001-74,86.356
04.799.938/0001-74,07.623.050/0001-74,4109.802999999996
04.799.938/0001-74,08.905.855/0001-73,4838.5607
04.813.204/0001-00,04.813.204/0001-00,27770.8804
04.813.204/0001-00,10.638.689/0001-38,942.0
04.813.204/0001-00,11.909.349/0001-67,4983.170200000003
04.827.759/0001-01,04.310.717/0001-90,1271.2989
04.832.322/0002-39,04.832.322/0002-39,887.0
04.911.954/0001-07,04.911.954/0001-07,363.837
05.112.467/0001-47,05.112.467/0001-47,10670.0
05.192.138/0001-53,05.192.138/0001-53,1344.5154999999995
05.317.512/0001-08,04.963.376/0001-52,300.0
05.317.512/0001-08,05.317.512/0001-08,145138.1153999999
05.317.512/0001-08,07.728.416/0001-70,89.464
05.317.512/0001-08,10.539.400/0001-23,1881.609999999999
05.317.512/0001-08,11.909.349/0001-67,172.657
05.317.512/0001-08,18.394.143/0001-90,7909.615999999998
05.317.512/0001-08,18.852.726/0001-18,5365.945999999998
05.317.512/0001-08,19.678.293/0001-99,10699.873399999999
05.317.512/0001-08,19.693.053/0001-63,2080.000000000001
05.317.512/0001-08,20.267.013/0001-39,695.813
05.317.512/0001-08,21.565.220/0001-32,18696.377499999995
05.317.512/0001-08,24.795.800/0001-04,2237.545
05.317.512/0001-08,29.883.464/0001-75,24677.697999999982
05.430.233/0001-48,00.611.256/0001-35,1355.1009999999999
05.430.233/0001-48,04.428.458/0001-05,293.00100000000003
05.430.233/0001-48,04.505.890/0001-44,268.89
05.430.233/0001-48,04.689.550/0001-10,2146.2579999999994
05.430.233/0001-48,05.430.233/0001-48,1890.7378000000006
05.430.233/0001-48,08.215.495/0001-88,18317.282800000008
05.430.233/0001-48,11.602.746/0001-91,1442.56
05.430.233/0001-48,14.608.707/0001-90,1083.069
05.430.233/0001-48,15.858.889/0001-10,255.00500000000002
05.430.233/0001-48,26.841.286/0001-21,1143.27
05.430.233/0001-48,30.354.588/0001-42,775.004
05.491.702/0001-39,05.491.702/0001-39,83.85799999999999
05.724.722/0001-02,05.724.722/0001-02,1420.017
05.757.158/0001-24,05.757.158/0001-24,19782.883600000012
05.757.448/0001-78,05.757.448/0001-78,1699.1227000000008
05.880.117/0001-20,10.686.915/0001-56,35772.25199999993
05.880.117/0001-20,11.602.746/0001-91,2317.9880000000003
