ID,Município de Origem,"Bloco, quadrado ou filé",Lascas,Lascas (st),Lenha,Madeira serrada (caibro),Madeira serrada (prancha),Madeira serrada (pranchão desdobrado),Madeira serrada (tábua),Madeira serrada (viga),Madeira serrada (vigota),Mourões (st),Palanques roliços (st),Ripas,Tora,Toretes,"Bloco, quadrado ou filé_des",Lascas_des,Lascas (st)_des,Lenha_des,Madeira serrada (caibro)_des,Madeira serrada (prancha)_des,Madeira serrada (pranchão desdobrado)_des,Madeira serrada (tábua)_des,Madeira serrada (viga)_des,Madeira serrada (vigota)_des,Mourões (st)_des,Palanques roliços (st)_des,Ripas_des,Tora_des,Toretes_des
WGAJ494,NOVO ARIPUANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,,,,,,,,,,,,,,,
SSDS701,PRESIDENTE FIGUEIREDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,,,,,,,,,,,,,,,
04.193.033/0001-56,ITAPIRANGA,0.0,0.0,0.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34428.0,0.0
MOS758,MANICORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,0.0,,,,,,,,,,,,,,,
16.783.527/0001-70,MANAUS,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
ALB183,LABREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,0.0,,,,,,,,,,,,,,,
NLM422,LABREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,0.0,,,,,,,,,,,,,,,
FVL000,MANICORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,,,,,,,,,,,,,,,
ECS438,NOVO ARIPUANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,0.0,,,,,,,,,,,,,,,
MHLDR613,MANICORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,,,,,,,,,,,,,,,
LFT421,MANICORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,,,,,,,,,,,,,,,
PSS929,CANUTAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,0.0,,,,,,,,,,,,,,,
AFO836,MANICORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,0.0,,,,,,,,,,,,,,,
04.670.469/0001-99,LABREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.0,0.0,,,,,,,,,,,,,,,
