ID,sender,receiver
WGAJ494,1,0
SSDS701,1,0
04.193.033/0001-56,1,1
MOS758,1,0
16.783.527/0001-70,1,0
ALB183,1,0
NLM422,1,0
FVL000,1,0
ECS438,1,0
MHLDR613,1,0
LFT421,1,0
PSS929,1,0
AFO836,1,0
04.670.469/0001-99,1,0
DFB502,1,0
AFO724,1,0
IDS351,1,0
ABS422,1,0
LSD021,1,0
32.731.644/0001-46,1,0
08.306.697/0001-35,1,0
34.542.720/0001-09,1,0
AG162,1,0
RPFM577,1,0
JBJ664,1,0
30.735.736/0001-79,1,0
ACB772,1,0
VAF113,1,0
PRG887,1,0
CVCF940,1,0
VSF130,1,0
CPN174,1,0
SADS301,1,0
SAN960,1,0
ITDS504,1,0
RNCDM611,1,0
10.329.193/0001-82,1,0
VMDS666,1,1
AFL292,1,0
BPA877,1,0
63.601.538/0001-71,1,0
JWMA406,1,0
14.047.437/0001-95,1,0
ADAB672,1,0
JHQF022,1,0
OMM063,1,0
SAV369,1,0
AAB040,1,0
ERF944,1,0
34.542.720/0002-81,1,1
VJOT792,1,0
JCT270,1,0
VODS502,1,0
BPA848,1,0
RMDS643,1,0
JVDS329,1,0
MCOM638,1,1
EAL712,1,1
JRO296,1,0
JLDS034,1,0
RS044,1,0
JVC026,1,0
VSR114,1,0
CAMD478,1,0
CAA739,1,0
04.008.157/0001-14,1,1
FLSN627,1,0
FTDS615,1,0
AB390,1,0
MKN030,1,0
VDSF346,1,0
FAO420,1,0
RSJ199,1,0
JRF359,1,0
NS054,1,0
CP090,1,0
AR662,1,0
DFF241,1,0
RBRJ006,1,0
LS321,1,0
JAP028,1,0
DJS139,1,0
ELS299,1,0
VPA703,1,0
GG016,1,0
ABA593,1,0
04.407.979/0001-78,1,0
VRR047,1,0
MRBV060,1,0
24.435.362/0001-73,1,0
ICBF003,1,0
ACP581,1,0
FEMDS113,1,0
EHB672,1,0
ALDS838,1,0
VVS949,1,0
MDSSS308,1,0
CBB566,1,0
FEB422,1,0
MAL964,1,0
AVFDCR509,1,0
RAL009,1,0
FVL703,1,0
NJGL405,1,0
LSDS007,1,0
JLS073,1,0
JWNS094,1,0
LFB622,1,0
CPS682,1,0
RMSS589,1,0
EU411,1,0
HM326,1,0
WLF581,1,0
26.990.478/0001-08,1,1
MAPDS630,1,0
JRCDS995,1,0
RMS569,1,0
14.735.178/0001-95,1,0
MAMF316,1,0
JMFM074,1,0
JCD000,1,0
LY234,1,0
ESC758,1,0
02.313.406/0001-50,1,1
JFA120,1,0
RSC234,1,1
SBE029,1,0
ADDS021,1,0
ADSG009,1,0
JHADS559,1,0
HPA629,1,0
MO509,1,0
ASC960,1,0
ALAV736,1,0
MADSN830,1,0
EDVDS240,1,0
JBF000,1,0
WBDS677,1,0
SAP078,1,0
MDCS220,1,0
02.831.001/0001-03,1,0
JPK093,1,0
DNF229,1,0
JWMS010,1,0
EFS003,1,0
CJGDS762,1,0
OTL410,1,0
ODS473,1,0
MIOA626,1,0
AMLL693,1,0
12.730.528/0001-03,1,0
AFT259,1,0
RAQ000,1,0
EBA612,1,0
23.035.983/0001-05,1,0
JLDNB018,1,0
EDES034,1,0
RRL076,1,0
HRAA916,1,0
ANBA417,1,0
VRC693,1,1
OADS615,1,0
SRP519,1,0
VS554,1,0
EFD217,1,0
VJS389,1,0
EPGP317,1,0
05.995.753/0001-06,1,0
SFL313,1,0
CML724,1,0
FFM660,1,0
MLS133,1,0
04.731.170/0001-05,1,0
CBS659,1,0
GAK202,1,0
IOR304,1,0
ECM025,1,0
23.688.441/0001-23,1,0
JSG903,1,0
CMTP591,1,0
NFR446,1,0
MOCB230,1,0
EJMC546,1,0
MG326,1,0
AFA185,1,0
MMS343,1,0
18.596.621/0001-45,1,0
